address,price,details
"451 Elgin Mills Rd W, Richmond Hill, ON L4C 4M3","C$2,280,000",4 bds4 ba- House for sale
"370 A Red Maple Rd #69, Richmond Hill, ON L4C 6P5","C$910,000",4 bds3 ba- Condo for sale
"117 Lawrence Ave, Richmond Hill, ON L4C 1Z2","C$1,399,000",4 bds2 ba- House for sale
"370 A Red Maple Rd #115, Richmond Hill, ON L4C 6P5","C$919,900",3 bds2 ba- Condo for sale
"60 Major Mackenzie Dr W, Richmond Hill, ON L4C 3S2","C$2,199,000",2 bds2 ba- House for sale
"9199 Yonge St #SE-611, Richmond Hill, ON L4C 1H7","C$589,900",1 bd1 ba- Condo for sale
"18 Mooregate Ct, Richmond Hill, ON L4B 3W7","C$3,388,000",5 bds5 ba- House for sale
"209 Harris Ave, Richmond Hill, ON L4E 3M3","C$1,600,000",2 bds1 ba- House for sale
"84 Stockdale Cres, Richmond Hill, ON L4C 3S9","C$1,945,000",7 bds4 ba- House for sale
"370 D Red Maple Rd #121, Richmond Hill, ON L4C 6P5","C$959,000",3 bds3 ba- Condo for sale
"31 Kensington Dr, Richmond Hill, ON L4E 3M9","C$3,249,000",4 bds6 ba- House for sale
"1 Worley Hall Gate, Richmond Hill, ON L4E 3M9","C$3,288,000",4 bds4 ba- House for sale
"2 Old Park Ln, Richmond Hill, ON L4B 2L8","C$3,490,000",6 bds6 ba- House for sale
"72 A Elm Grove Ave, Richmond Hill, ON L4E 2W8","C$2,288,000",5 bds5 ba- House for sale
"125 Bond Cres, Richmond Hill, ON L4E 3K2","C$1,790,000",4 bds6 ba- House for sale
"121 Bond Cres, Richmond Hill, ON L4E 3L1","C$1,790,000",4 bds6 ba- House for sale
"129 Bond Cres, Richmond Hill, ON L4E 3L1","C$1,790,000",4 bds5 ba- House for sale
"145 English Oak Dr, Richmond Hill, ON L4E 4G2","C$1,899,000",4 bds5 ba- House for sale
"134 Hillsview Dr, Richmond Hill, ON L4C 1T2","C$5,498,000",5 bds8 ba- House for sale
"147 Pathlane Rd, Richmond Hill, ON L4B 4R1","C$2,988,800",4 bds5 ba- House for sale
"2 Wendy Way, Richmond Hill, ON L4E 2V6","C$1,999,000",3 bds1 ba- House for sale
"1 Chaplin Ct, Richmond Hill, ON L4B 2Y1","C$2,888,000",5 bds5 ba- House for sale
"73 King William Cres #510, Richmond Hill, ON L4B 0C2","C$589,000",2 bds2 ba- Condo for sale
"56 Lake Ave, Richmond Hill, ON L4E 3G3","C$4,280,000",4 bds5 ba- House for sale
"32 Winterport Ct, Richmond Hill, ON L4C 8C2","C$2,998,800",4 bds6 ba- House for sale
"124 Weldrick Rd W, Richmond Hill, ON L4C 3V1","C$1,699,999",3 bds3 ba- House for sale
"17 Springer Dr, Richmond Hill, ON L4C 0E9","C$1,449,000",4 bds4 ba- House for sale
"66 Springbrook Dr, Richmond Hill, ON L4B 3R3","C$2,998,000",5 bds7 ba- House for sale
"199 Boake Trl, Richmond Hill, ON L4B 3Z6","C$3,699,000",5 bds6 ba- House for sale
"Ivylea Towns In Richmond Hl, Richmond Hill, ON L4S 1N7","C$1,000,000","Studio-- ba2,369 sqft- House for sale"
"78 Portage Ave, Richmond Hill, ON L4E 4P7","C$1,099,000",-- sqft lot- Lot / Land for sale
"108 Dexter Rd, Richmond Hill, ON L4C 5P5","C$3,539,000",4 bds7 ba- House for sale
"150 High Tech Rd, Richmond Hill, ON L4B 4N5","C$538,000",1 bd1 ba695 sqft- Condo for sale
"148 Richmond St, Richmond Hill, ON L4C 3Y4","C$935,000",2 bds1 ba- House for sale
"5150 Lawrence Ave #812, Richmond Hill, ON L4C 1Z2","C$480,000",Studio-- ba- Condo for sale
"133 Carrville Rd, Richmond Hill, ON L4C 6E4","C$2,938,000",1 bd2 ba- House for sale
"63 Cunthia Cres, Richmond Hill, ON L4E 2R4","C$1,289,000","Studio-- ba4,622 sqft- House for sale"
"27 Eastgate Cres, Richmond Hill, ON L4B 3G5","C$5,880,000",6 bds8 ba- House for sale
"8888 Yonge St, Richmond Hill, ON L4C 6Z1","C$400,000",Studio-- ba- Condo for sale
"21 Moodie Dr, Richmond Hill, ON L4C 8C7","C$2,450,000",7 bds8 ba- House for sale
"47 Mill, Richmondhill, ON L4C 4A7","C$699,900",5 bds3 ba- House for sale
