address,price,details
"2180 Marine Dr #1401, Oakville, ON L6L 5V2","C$1,249,900","2 bds2 ba1,830 sqft- Condo for sale"
"126 Maurice Dr, Oakville, ON L6K 2W7","C$2,298,000","3 bds5 ba3,844 sqft- Townhouse for sale"
"11 Bronte Rd #215, Oakville, ON L6L 0E1","C$1,599,900","2 bds2 ba1,248 sqft- Condo for sale"
"2180 Marine Dr #401, Oakville, ON L6L 5V2","C$1,299,900","2 bds2 ba1,830 sqft- Condo for sale"
"300 Randall St #210, Oakville, ON L6J 0G2","C$3,450,000","2 bds3 ba2,768 sqft- Condo for sale"
"92 Sewell Dr, Oakville, ON L6H 1C5","C$1,198,000","5 bds2 ba1,192 sqft- House for sale"
"495 Hidden Trl, Oakville, ON L6M 0N4","C$1,999,000",5 bds5 ba- House for sale
"1057 Argyle Dr, Oakville, ON L6J 1A8","C$6,788,000","4 bds6 ba8,108 sqft- House for sale"
"55 Speers Rd #804, Oakville, ON L6K 0H9","C$595,999",2 bds2 ba784 sqft- Condo for sale
"2105 Thornlea Dr, Oakville, ON L6L 1K5","C$1,475,000","4 bds3 ba2,867 sqft- House for sale"
"1189 Lakeshore Rd E, Oakville, ON L6J 1L3","C$6,750,000","4 bds8 ba6,023 sqft- House for sale"
"32 Lambert Cmn, Oakville, ON L6K 0H6","C$6,599,000","5 bds7 ba9,702 sqft- House for sale"
"1219 Lakeshore Rd W, Oakville, ON L6L 1H4","C$4,495,000","5 bds6 ba6,429 sqft- House for sale"
"156 Randall St #101, Oakville, ON L6J 1P4","C$2,050,000","2 bds2 ba1,657 sqft- Condo for sale"
"1110 Morrison Heights Dr, Oakville, ON L6J 4H8","C$7,750,000","5 bds9 ba6,758 sqft- House for sale"
"156 Randall St #302, Oakville, ON L6J 1P4","C$3,200,000","2 bds3 ba2,487 sqft- Condo for sale"
"2420 Baronwood Dr #16-01, Oakville, ON L6M 0X6","C$620,000","2 bds2 ba1,100 sqft- Townhouse for sale"
"160 Aintree Ter, Oakville, ON L6J 5J3","C$2,698,000","5 bds4 ba4,641 sqft- House for sale"
"3223 Shoreline Dr, Oakville, ON L6L 5Y9","C$2,999,500","4 bds4 ba3,631 sqft- House for sale"
"336 Robinson St #2, Oakville, ON L6J 1G9","C$2,699,000","3 bds5 ba3,453 sqft- New construction"
"2909 Garnethill Way, Oakville, ON L6M 5E9","C$798,000","3 bds3 ba1,600 sqft- Townhouse for sale"
"2446 Belyea St, Oakville, ON L6L 1P1","C$1,399,000",3 bds1 ba- House for sale
"3077 Ernest Appelbe Blvd, Oakville, ON L6H 0M1","C$1,199,000",4 bds3 ba- Townhouse for sale
"156 Randall St #202, Oakville, ON L6J 1P4","C$2,660,000","2 bds3 ba2,474 sqft- Condo for sale"
"529 Lakeshore Rd E, Oakville, ON L6J 1K4","C$5,288,800","5 bds6 ba5,350 sqft- House for sale"
"1089 Melvin Ave, Oakville, ON L6J 2V8","C$1,749,000","3 bds2 ba1,100 sqft- House for sale"
"2254 Yates Ct, Oakville, ON L6L 5K6","C$2,399,800",5 bds3 ba- House for sale
"15 3rd Line, Oakville, ON L6L 3Z3","C$2,975,000",Studio-- ba- House for sale
"105 Westchester Rd, Oakville, ON L6H 6H8","C$1,699,888","5 bds4 ba3,358 sqft- House for sale"
"1342 Roylen Rd, Oakville, ON L6H 1V4","C$898,777","3 bds2 ba1,206 sqft- House for sale"
"1354 Pepperbush Pl, Oakville, ON L6M 4B7","C$1,199,900","3 bds3 ba1,492 sqft- House for sale"
"2168 Colonel William Pkwy, Oakville, ON L6M 0B8","C$2,099,999",4 bds4 ba- New construction
"3043 8th Line, Oakville, ON L6H 7H5","C$4,600,000",4 bds2 ba- House for sale
"393 Ashbury Rd, Oakville, ON L6K 2M8","C$1,249,500","3 bds2 ba1,200 sqft- House for sale"
"105 Westchester Rd, Oakville, ON L6H 6H8","C$1,699,888","5 bds4 ba3,358 sqft- House for sale"
"2909 Garnethill Way, Oakville, ON L6M 5E9","C$798,000","3 bds3 ba1,600 sqft- Townhouse for sale"
"15 3rd Line, Oakville, ON L6L 3Z3","C$2,975,000",Studio-- ba- House for sale
"224 Harold Dent Trl, Oakville, ON L6M 1S2","C$999,000","3 bds3 ba1,845 sqft- Townhouse for sale"
"295 Bronte Rd, Oakville, ON L6L 3C5","C$2,600,000","5 bds5 ba4,460 sqft- House for sale"
"10 Maple Grove Dr #25, Oakville, ON L6J 0E1","C$5,288,000","3 bds3 ba3,563 sqft- Condo for sale"
"57 Florence Dr, Oakville, ON L6K 1V7","C$2,399,000","4 bds5 ba3,704 sqft- House for sale"
